route,pageType,proposedSource,cmsSlug,inContentPagesImport,reasonIfStatic
/,home,"content_pages.slug=root clone-page-v1",root,true,""
/blog,blog-index,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/blog/categories/aktualności,blog-category,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/blog/categories/ciekawostki,blog-category,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/blog/categories/o-mnie,blog-category,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/booking-calendar/ceramika-dla-dorosłych-pon-czw,booking-calendar,"content_pages.slug=booking-calendar-ceramika-dla-doroslych-pon-czw clone-page-v1",booking-calendar-ceramika-dla-doroslych-pon-czw,true,""
/booking-calendar/glina-do-wina-piątek-19-00-suchy-las,booking-calendar,"content_pages.slug=booking-calendar-glina-do-wina-piatek-19-00-suchy-las clone-page-v1",booking-calendar-glina-do-wina-piatek-19-00-suchy-las,true,""
/booking-calendar/glina-do-wina-w-poznaniu-w-ptasim-radiu,booking-calendar,"content_pages.slug=booking-calendar-glina-do-wina-w-poznaniu-w-ptasim-radiu clone-page-v1",booking-calendar-glina-do-wina-w-poznaniu-w-ptasim-radiu,true,""
/booking-calendar/glina-i-rodzina-soboty-15-00,booking-calendar,"content_pages.slug=booking-calendar-glina-i-rodzina-soboty-15-00 clone-page-v1",booking-calendar-glina-i-rodzina-soboty-15-00,true,""
/booking-calendar/letnia-akademia-rysunku-malarstwa,booking-calendar,"content_pages.slug=booking-calendar-letnia-akademia-rysunku-malarstwa clone-page-v1",booking-calendar-letnia-akademia-rysunku-malarstwa,true,""
/booking-calendar/poranki-z-ceramiką-dla-dorosłych,booking-calendar,"content_pages.slug=booking-calendar-poranki-z-ceramika-dla-doroslych clone-page-v1",booking-calendar-poranki-z-ceramika-dla-doroslych,true,""
/booking-calendar/wrzesieńceramika-dla-dorosłych-pon,booking-calendar,"content_pages.slug=booking-calendar-wrzesienceramika-dla-doroslych-pon clone-page-v1",booking-calendar-wrzesienceramika-dla-doroslych-pon,true,""
/booking-calendar/wrzesieńglina-do-wina-piątek-suchy-las,booking-calendar,"content_pages.slug=booking-calendar-wrzesienglina-do-wina-piatek-suchy-las clone-page-v1",booking-calendar-wrzesienglina-do-wina-piatek-suchy-las,true,""
/cart,cart,"content_pages.slug=cart clone-page-v1",cart,true,""
/copy-of-panieński-opis,marketing,"content_pages.slug=copy-of-panienski-opis clone-page-v1",copy-of-panienski-opis,true,""
/courses,course,"content_pages.slug=courses clone-page-v1",courses,true,""
/courses/glina-do-wina-,course,"content_pages.slug=courses-glina-do-wina clone-page-v1",courses-glina-do-wina,true,""
/courses/glina-i-rodzina-,course,"content_pages.slug=courses-glina-i-rodzina clone-page-v1",courses-glina-i-rodzina,true,""
/courses/imprezy-zamknięte-do-10-os.-,course,"content_pages.slug=courses-imprezy-zamkniete-do-10-os clone-page-v1",courses-imprezy-zamkniete-do-10-os,true,""
/courses/kręcenie-na-kole-,course,"content_pages.slug=courses-krecenie-na-kole clone-page-v1",courses-krecenie-na-kole,true,""
/courses/pracowania-otwarta-,course,"content_pages.slug=courses-pracowania-otwarta clone-page-v1",courses-pracowania-otwarta,true,""
/dostawy-i-zwroty,legal,"content_pages.slug=dostawy-i-zwroty clone-page-v1",dostawy-i-zwroty,true,""
/faq,faq,"content_pages.slug=faq clone-page-v1",faq,true,""
/galeria,gallery,"content_pages.slug=galeria clone-page-v1",galeria,true,""
/gift-card,shop,"content_pages.slug=gift-card clone-page-v1",gift-card,true,""
/glinadowina,workshop-landing,"content_pages.slug=glinadowina clone-page-v1",glinadowina,true,""
/home,home-alias,"content_pages.slug=home clone-page-v1",home,true,""
/kontakt,contact,"content_pages.slug=kontakt clone-page-v1",kontakt,true,""
/kopia-panieński-plus-opis,marketing,"content_pages.slug=kopia-panienski-plus-opis clone-page-v1",kopia-panienski-plus-opis,true,""
/kopia-urodziny-ceramika,marketing,"content_pages.slug=kopia-urodziny-ceramika clone-page-v1",kopia-urodziny-ceramika,true,""
/panienskie,marketing,"content_pages.slug=panienskie clone-page-v1",panienskie,true,""
/post/bycie-w-procesie-podczas-warsztatów-z-ceramiki,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/czy-wiecie-że-prowadzimy-również-warsztaty-rysunku-malarstwa-i-ceramiki,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/czym-zajmuje-się-pracownia-ceramiki-nero,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/dlaczego-warto-wybrać-naszą-pracownię-ceramiki-dla-twoich-kreatywnych-potrzeb,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/dziękujemy-wszystkim-którzy-są-z-nami,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/glina-do-wina,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/jak-zacząć-przygodę-z-ceramiką,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/letnia-akademia-artystyczna-całe-wakacje,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/nowe-warsztaty-ceramika-dla-smyka,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/nowe-warsztaty-ceramika-dla-smyka-od-stycznia-2025,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/o-mnie,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/o-sklepie-z-ceramiką,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/pikniki-artystyczne-na-polanie-przed-pracownią-ceramiki-nero,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/slow-design-co-oznacza,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/startujemy-z-zapisamy-na-wrzesień-bogata-oferta-warsztatów-dla-dzieci-rysunek-malarstwo-ceramika,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/twój-tytuł-jak-nazwałbyś-swój-przepis,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/warsztatyzgliny,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/wpływ-pracy-z-gliną-na-człowieka,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/wspaniała-historia-pracowni-od-miłości-do-gotowania-do-tworzenia-inspirującej-wspólnoty,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/post/zaczynamy-nowe-warsztaty-już-we-wrześniu,blog-post,"blog_posts table (separate from content_pages) + archive fallback",,false,"Kept on separate blog_posts cutover; unicode slugs need ASCII mapping; not part of content_pages apply"
/product-page/glina-box-kurs-lepienia-z-gliny-podstawka-wiosennego,product,"content_pages.slug=product-page-glina-box-kurs-lepienia-z-gliny-podstawka-wiosennego clone-page-v1",product-page-glina-box-kurs-lepienia-z-gliny-podstawka-wiosennego,true,""
/product-page/szkliwienie-prac-w-pracowni-ceramika-nero-1,product,"content_pages.slug=product-page-szkliwienie-prac-w-pracowni-ceramika-nero-1 clone-page-v1",product-page-szkliwienie-prac-w-pracowni-ceramika-nero-1,true,""
/regulamin,legal,"content_pages.slug=regulamin clone-page-v1",regulamin,true,""
